"","Title","Author l-f","ISBN13","Date Borrowed","Year Read","Author","Additional Authors","ISBN10","Number of Pages","Year Published","Original Publication Year","Date Read","User Genre","Fiction Status","User Tags","Ownership Status","Buy?"
"164","The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory","Greene, Brian","9780393338102",NA,2015,NA,NA,"039333810X",464,2010,1999,NA,"physics","non-fiction",NA,"own-physical",NA
"165","Black Box","Schumacher, Julie","9780385735421",NA,2016,NA,NA,"0385735421",176,2008,2000,NA,NA,NA,NA,NA,NA
"166","Summertime Blues","Clarke, Julia","9780192718716",NA,2013,NA,NA,"0192718711",192,2001,2001,NA,NA,NA,NA,NA,NA
"167","Follow the Blue.","Lowry, Brigid","9783423708548",NA,2014,NA,NA,"3423708549",NA,2004,2001,NA,NA,NA,NA,NA,NA
"168","Exodus (Exodus, #1)","Bertagna, Julie","9780330399081",NA,2013,NA,NA,"033039908X",337,2003,2002,NA,NA,NA,NA,NA,NA
"169","Hidden Empire (The Saga of Seven Suns, #1)","Anderson, Kevin J.","9780446610575",NA,2015,NA,NA,"0446610577",654,2003,2002,NA,NA,NA,NA,NA,NA
"170","Missing Judy","Cassidy, Anne","9780439949989",NA,2015,NA,NA,"043994998X",NA,2006,2002,NA,"thriller;mystery;suspense",NA,NA,NA,NA
"171","Freaky Green Eyes","Oates, Joyce Carol","9780064473484",NA,2014,NA,NA,"0064473481",368,2005,2003,NA,NA,NA,NA,NA,NA
"172","The Secret Language of Girls (The Secret Language of Girls, #1)","Dowell, Frances O'Roark","9781416907176",NA,2013,NA,NA,"1416907173",247,2005,2004,NA,NA,NA,NA,NA,NA
"173","Earth Almanac: A Year of Witnessing the Wild, from the Call of the Loon to the Journey of the Gray Whale","Williams, Ted",NA,NA,2021,NA,"Verlyn Klinkenborg",NA,257,2020,2004,NA,"nature","non-fiction",NA,NA,NA
"174","The Lightning Thief (Percy Jackson and the Olympians, #1)","Riordan, Rick",NA,NA,2014,NA,NA,NA,377,2006,2005,NA,NA,NA,NA,NA,"y"
"175","A Mango-Shaped Space","Mass, Wendy","9780316058254",NA,2014,NA,NA,"0316058254",221,2005,2005,NA,NA,NA,NA,NA,"y"
"176","Indigo Blue","Cassidy, Cathy","9780141317847",NA,2015,NA,NA,"0141317841",185,2005,2005,NA,NA,NA,NA,NA,NA
"177","The Nannies (Nannies, #1)","Mayer, Melody","9780385732833",NA,2017,NA,NA,"038573283X",274,2005,2005,NA,NA,NA,NA,NA,NA
"178","Double duel","Boulicault, Nancy","9782916238012",NA,2021,NA,NA,"2916238018",95,2005,2005,NA,"french",NA,NA,NA,NA
"179","Discount Diva (Zodiac Girls, #3)","Hopkins, Cathy","9780753461310",NA,2012,NA,NA,"0753461315",184,2007,2006,NA,NA,NA,NA,NA,NA
"180","An Urgent Message of Wowness","McCombie, Karen","9781407104386",NA,2013,NA,NA,"0439951143",256,2007,2006,NA,NA,NA,NA,NA,NA
"181","Sensational Spylet (Jane Blonde, #1)","Marshall, Jill",NA,NA,2014,NA,NA,NA,260,2006,2006,NA,NA,NA,NA,NA,NA
"182","Horus Rising (Horus Heresy #1)","Abnett, Dan","9780857870216",NA,2015,NA,NA,NA,412,2010,2006,NA,NA,NA,NA,NA,NA
"183","Nobody's Perfect (Deaf Child Crossing #2)","Matlin, Marlee","9781416949763",NA,2017,NA,NA,"1416949763",240,2007,2006,NA,NA,NA,NA,NA,NA
"184","Sophie's Secret (Whispers, #1)","West, Tara",NA,NA,2014,NA,NA,NA,309,2012,2007,NA,NA,NA,NA,NA,NA
"185","The Melting of Maggie Bean (Maggie Bean, #1)","Rayburn, Tricia","9781416933489",NA,2014,NA,NA,"1416933484",250,2007,2007,NA,NA,NA,NA,NA,"y"
"186","Waves","Dogar, Sharon","9780439871808",NA,2015,NA,NA,"0439871808",344,2007,2007,NA,NA,NA,NA,NA,NA
"187","Summer of Secrets (21st Century Austen, #2)","Rushton, Rosie","9781853409073",NA,2016,NA,NA,"1853409073",176,2007,2007,NA,NA,NA,NA,NA,NA
"188","The Transformation of Minna Hargreaves","Beale, Fleur",NA,NA,2016,NA,NA,NA,194,2012,2007,NA,NA,NA,NA,NA,NA
"189","Art of Reading Minds","Fexeus, Henrik","9781250236401",NA,2020,NA,NA,"1250236401",252,2019,2007,NA,NA,NA,NA,NA,NA
"190","How to Ditch Your Fairy","Larbalestier, Justine","9781599903019",NA,2013,NA,NA,"1599903016",304,2008,2008,NA,NA,NA,NA,NA,NA
"191","The Truth About My Bat Mitzvah","Baskin, Nora Raleigh","9781416935582",NA,2014,NA,NA,"1416935584",144,2008,2008,NA,NA,NA,NA,NA,NA
"192","Gems & Minerals","Landmann, Andreas","9780764330667",NA,2023,NA,NA,"0764330667",176,2008,2008,NA,"nature","non-fiction",NA,NA,NA
"193","Outside In","Keighery, Chrissie","9781921502361",NA,2013,NA,NA,"1921502363",183,2012,2009,NA,NA,NA,NA,NA,NA
"194","Evermore (The Immortals, #1)","Noel, Alyson","9780312532758",NA,2014,NA,NA,"031253275X",301,2009,2009,NA,NA,NA,NA,NA,NA
"195","Open Fire: Battle Boy 1","Carter, Charlie",NA,NA,2014,NA,NA,NA,57,2009,2009,NA,NA,NA,NA,NA,NA
"196","Fill Out This Application and Wait Over There","Starke, Ruth","9781862918474",NA,2014,NA,NA,"1862918473",288,2009,2009,NA,NA,NA,NA,NA,NA
"197","Ice","Durst, Sarah Beth","9781416986430",NA,2014,NA,NA,"141698643X",308,2009,2009,NA,NA,NA,NA,NA,NA
"198","Shine On Daizy Star","Cassidy, Cathy","9780141325194",NA,2014,NA,NA,"0141325194",192,2009,2009,NA,NA,NA,NA,NA,NA
"199","End of the Alphabet","Beale, Fleur",NA,NA,2014,NA,NA,NA,NA,2012,2009,NA,NA,NA,NA,NA,NA
"200","Leftovers","Waldorf, Heather",NA,NA,2015,NA,NA,NA,210,2013,2009,NA,NA,NA,NA,NA,NA
"201","Season of Secrets","Nicholls, Sally","9781407105130",NA,2016,NA,NA,"1407105132",272,2009,2009,NA,NA,NA,NA,NA,NA
"202","The Dark Blue 100-Ride Bus Ticket","Mahy, Margaret","9781869508166",NA,2016,NA,NA,"1869508165",160,2009,2009,NA,NA,NA,NA,NA,NA
"203","Running in Heels","Bailey, Helen","9781444900842",NA,2013,NA,NA,"1444900846",336,2011,2010,NA,NA,NA,NA,NA,NA
"204","The Book of Deacon (The Book of Deacon, #1)","Lallo, Joseph R.","9781470008956",NA,2013,NA,"Nick Deligaris","1470008955",322,2012,2010,NA,NA,NA,NA,NA,NA
"205","Out of My Mind (The Out of My Mind Series)","Draper, Sharon M.","9781416971702",NA,2013,NA,NA,"141697170X",295,2010,2010,NA,NA,NA,NA,NA,NA
"206","Shine","Maryon, Kate","9780007326273",NA,2013,NA,NA,"0007326270",218,2010,2010,NA,NA,NA,NA,NA,"y"
"207","The Iron King (The Iron Fey, #1)","Kagawa, Julie","9780373210084",NA,2013,NA,NA,"0373210086",363,2010,2010,NA,NA,NA,NA,NA,NA
"208","Glimmerglass (Faeriewalker, #1)","Black, Jenna","9780312575939",NA,2014,NA,NA,"0312575939",294,2010,2010,NA,NA,NA,NA,NA,NA
"209","Hollowland (The Hollows, #1)","Hocking, Amanda","9781536897340",NA,2014,NA,NA,"1536897345",330,2016,2010,NA,NA,NA,NA,NA,NA
"210","Oracle","French, Jackie","9780732288402",NA,2014,NA,NA,"0732288401",352,2010,2010,NA,NA,NA,NA,NA,NA
"211","Tempest (Destroyers, #1)","Hook, Holly",NA,NA,2014,NA,NA,NA,307,2017,2010,NA,NA,NA,NA,NA,NA
"212","Fire Burn and Cauldron Bubble (Underworld #1)","Mallory, H.P.",NA,NA,2015,NA,NA,NA,470,2021,2010,NA,NA,NA,NA,NA,NA
"213","Insight (Insight #1; Web of Hearts and Souls #1)","Magee, Jamie",NA,NA,2015,NA,NA,NA,405,2015,2010,NA,NA,NA,NA,NA,NA
"214","The Emerald Talisman (Talisman, #1)","Pandos, Brenda","9780578053394",NA,2015,NA,NA,"057805339X",288,2012,2010,NA,NA,NA,NA,NA,NA
"215","The Mind Readers (Mind Readers, #1)","Brighton, Lori",NA,NA,2015,NA,NA,NA,170,2010,2010,NA,NA,NA,NA,NA,NA
"216","The Queen's Blade (The Queen's Blade, #1)","Southwell, T.C.","2940011160141",NA,2015,NA,NA,NA,339,2010,2010,NA,NA,NA,NA,NA,NA
