Book Title,Author l-f,Additional Authors,ISBN-10,ISBN-13,Number of Pages,Year Published,Original Publication Year,Year Read,User Genre,Fiction Status,User Tags,Ownership Status,Buy?
Running in Heels,"Bailey, Helen",,1444900846,9781444900842,336,2011,2010,2013,,,,,
"The Book of Deacon (The Book of Deacon, #1)","Lallo, Joseph R.",Nick Deligaris,1470008955,9781470008956,322,2012,2010,2013,,,,,
Out of My Mind (The Out of My Mind Series),"Draper, Sharon M.",,141697170X,9781416971702,295,2010,2010,2013,,,,,
Shine,"Maryon, Kate",,0007326270,9780007326273,218,2010,2010,2013,,,,,y
"The Iron King (The Iron Fey, #1)","Kagawa, Julie",,0373210086,9780373210084,363,2010,2010,2013,,,,,
"Glimmerglass (Faeriewalker, #1)","Black, Jenna",,0312575939,9780312575939,294,2010,2010,2014,,,,,
"Hollowland (The Hollows, #1)","Hocking, Amanda",,1536897345,9781536897340,330,2016,2010,2014,,,,,
Oracle,"French, Jackie",,0732288401,9780732288402,352,2010,2010,2014,,,,,
"Tempest (Destroyers, #1)","Hook, Holly",,,,307,2017,2010,2014,,,,,
Fire Burn and Cauldron Bubble (Underworld #1),"Mallory, H.P.",,,,470,2021,2010,2015,,,,,
Insight (Insight #1; Web of Hearts and Souls #1),"Magee, Jamie",,,,405,2015,2010,2015,,,,,
"The Emerald Talisman (Talisman, #1)","Pandos, Brenda",,057805339X,9780578053394,288,2012,2010,2015,,,,,
"The Mind Readers (Mind Readers, #1)","Brighton, Lori",,,,170,2010,2010,2015,,,,,
"The Queen's Blade (The Queen's Blade, #1)","Southwell, T.C.",,,2940011160141,339,2010,2010,2015,,,,,
"A Chance for Charity (The Immortal Ones, #1)","Baum, S.L.",,1453778039,9781453778036,304,2010,2010,2016,,,,,
"Voyager, 101 Wonders Between Earth and the Edge of the Cosmos","Clark, Stuart",,1848879466,9781848879461,256,2010,2010,2020,astronomy,non-fiction,,,
Shift,"Bailey, Em",,1405282886,9781405282888,320,2016,2011,2013,,,,,
Whisper,"Keighery, Chrissie",,1921759321,9781921759321,256,2011,2011,2013,,,,,
"Frey (The Frey Saga, #1)","Wright, Melissa",,,,246,2011,2011,2013,,,,,
"Look Into My Eyes (Ruby Redfort, #1)","Child, Lauren",,0007334060,9780007334063,390,2011,2011,2013,,,,,
"Across the Universe (Across the Universe, #1)","Revis, Beth",,1595143971,9781595143976,399,2011,2011,2013,,,,,
"Galdoni (The Galdoni, #1)","Alsop, Cheree",,,,,2014,2011,2014,,,,,
Wide Awake (Academy of the Fallen #1),"Lanzarotta, Daniele",,,,280,2016,2011,2014,,,,,
"Bound (Arelia LaRue, #1)","Saito, Kira",,,2940032871132,153,2011,2011,2014,,,,,
Trefoil,"Moore, M.C.",,1466459670,9781466459670,234,2011,2011,2014,,,,,
"The Fallen Star (Fallen Star, #1)","Sorensen, Jessica",,,,419,2011,2011,2014,,,,,y
"Eternal Starling (Emblem of Eternity, #1)","Corbett, Angela",,,,,,2011,2015,,,,,
