cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img1.od-cdn.com/ImageType-100/0293-1/{243292E1-05F2-4EB6-9161-4E9875441A74}Img100.jpg,Suggested Reading,Dave Connis,HarperCollins,9780062685278,"January 29, 2023 03:39",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/0293-1/{76A495AE-F950-4883-8D33-A86800EC0215}IMG100.JPG,Time Bomb,Joelle Charbonneau,HarperCollins,9781328476869,"January 28, 2023 20:30",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/0293-1/{5D4BDDFF-3894-4A90-8B22-361363B95245}Img100.jpg,The Child Finder,Rene Denfeld,HarperCollins,9780062659071,"January 28, 2023 20:27",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/1523-1/{FF91ECB0-4B9B-4A3F-AE7C-C7C9E5A2BBE6}Img100.jpg,Death by Bubble Tea,Jennifer J. Chow,Penguin Publishing Group,9780593336540,"January 28, 2023 15:32",Borrowed,"",Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0111-1/{CCF39088-F185-4307-897A-21B36D46454B}IMG100.JPG,Unlikely Animals,Annie Hartnett,Random House Publishing Group,9780593160237,"January 22, 2023 03:18",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0111-1/{AB030FB7-8F74-4E1F-9888-CE4D0F0B3F4E}Img100.jpg,Colorful,Eto Mori,Catapult,9781640094437,"January 22, 2023 03:13",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0292-1/{484BCC4D-920E-4EF5-9E95-1D4C106C839C}Img100.jpg,Part of the Family,Charlotte Philby,HarperCollins Publishers,9780008327002,"January 22, 2023 03:12",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/1523-1/{5AE129E3-B9C2-4195-B9B1-5E2E5C4BBEAF}IMG100.JPG,After the Sun,Jonas Eika,Penguin Publishing Group,9780593329115,"January 22, 2023 00:21",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0874-1/{D1E2B7C1-EEE3-4520-A4FB-DDCE0F0DDFAC}Img100.jpg,The Dark Net,Benjamin Percy,HarperCollins,9780544750579,"January 21, 2023 22:34",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0111-1/{E9294334-E3C2-475E-86A0-435E1ACB1A1C}Img100.jpg,Consent,Annabel Lyon,Knopf Doubleday Publishing Group,9780593318010,"January 21, 2023 21:21",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0111-1/{F5701B3C-FB9F-47FF-AA04-7684E911A35F}Img100.jpg,My Not So Perfect Life,Sophie Kinsella,Random House Publishing Group,9780812998276,"January 21, 2023 20:11",Borrowed,"",Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0293-1/{F5E4C6E6-8539-4764-8999-3FD6D515BAB1}Img100.jpg,Snowflake,Louise Nealon,HarperCollins,9780063073951,"January 21, 2023 20:09",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/2363-1/{D315B47B-5EE4-4FDF-A8A5-77B0941FE58C}Img100.jpg,For Nobody's Eyes Only,Nick Redfern,Red Wheel/Weiser,9781601635037,"January 21, 2023 18:55",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/6852-1/{86185DA2-572A-4B0E-BE8B-FD05F49576EB}Img100.jpg,Constellations of Eve,Abbigail Nguyen Rosewood,Texas Tech University Press,9781682831380,"January 21, 2023 18:53",Borrowed,"",Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/4479-1/{B3BE725D-F0D9-420E-B8DF-9A0C8824E54E}Img100.jpg,Julie Kagawa,Julie Kagawa,Bluewater,"","January 21, 2023 17:31",Borrowed,"",Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/1371-1/{27D2A084-2B59-4EAF-9C67-13F7BF71C3F7}Img100.jpg,Torn Away,James Heneghan,Orca Book Publishers,9781554695492,"January 21, 2023 15:08",Borrowed,"",Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0293-1/{A77BE66F-B873-41B9-B9C9-B0F1AD5EC195}Img100.jpg,The Leveller,Julia Durango,HarperCollins,9780062314024,"January 21, 2023 15:05",Borrowed,"",Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0293-1/{2C5B6510-83E3-40FF-A866-1EFF693E8773}Img100.jpg,No Exit,Taylor Adams,HarperCollins,9780062875679,"January 21, 2023 02:46",Borrowed,"",Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/6852-1/{D80C8607-EAAD-4017-A0D5-4B405EE0D2B4}IMG100.JPG,The Girl Who Survived,Lisa Jackson,Kensington Books,9781496737434,"January 21, 2023 02:43",Borrowed,"",Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0174-1/{FD561CEF-0554-4F97-BA7D-AFEFAC15B30D}Img100.jpg,Five Total Strangers,Natalie D. Richards,Sourcebooks,9781492657224,"January 21, 2023 02:41",Borrowed,"",Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0111-1/{BB18F2F1-6DF3-4AA0-B669-573E4BF9AFF0}Img100.jpg,Barney's Version,Mordecai Richler,Knopf Doubleday Publishing Group,9780307813473,"January 21, 2023 02:29",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/0111-1/{71756B04-EB6F-44D2-B2EA-6C92FBF44658}IMG100.JPG,Station Eleven,Emily St. John Mandel,Knopf Doubleday Publishing Group,9780385353311,"January 20, 2023 10:51",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/1523-1/{4E2548AD-C7E7-4880-9BEE-47E258613323}IMG100.JPG,Hot Rocks,Nora Roberts,Penguin Publishing Group,9781101171578,"January 20, 2023 10:49",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/1523-1/{E5009171-C45D-41E8-9A3C-0BFD4A95C2A4}Img100.jpg,Eleanor Oliphant Is Completely Fine,Gail Honeyman,Penguin Publishing Group,9780735220706,"January 20, 2023 10:43",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/6852-1/{B5E48039-8D95-471A-892B-436D845F4CB7}Img100.jpg,The Operative,Andrew Britton,Pinnacle Books,9780786032136,"January 20, 2023 02:02",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/0111-1/{D6FF4A8B-0E8C-4C6C-B684-9A442F5219C0}IMG100.JPG,Something in the Water,Catherine Steadman,Random House Publishing Group,9781524797195,"January 20, 2023 01:52",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/0111-1/{539A9E4C-1EFE-46CD-890A-92EB3B9A30AF}IMG100.JPG,French Braid,Anne Tyler,Knopf Doubleday Publishing Group,9780593321102,"January 20, 2023 01:46",Borrowed,"",Alexandria Library
