Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
20742586,"Small Town Superhero (Small Town Superhero, #1)",Cheree Alsop,"Alsop, Cheree",,,,0,4.09,StoneHouse Ink,Kindle Edition,278,2014,2013,,8/3/23,,,read,,,,1,0
15751280,Sovereign Hope (The Hope Series #1),Frankie Rose,"Rose, Frankie",,,,0,3.72,,Kindle Edition,393,2012,2012,,8/3/23,,,read,,,,1,0
17250582,"Stained (Stained, #1)",Ella James,"James, Ella",,,,0,3.7,Barkley's Books ,Kindle Edition,254,2011,2011,,8/3/23,,,read,,,,1,0
10837174,"Stray (Touchstone, #1)",Andrea K. Höst,"Höst, Andrea K.",,,,0,3.99,Andrea K. Höst,Kindle Edition,273,2011,2011,,8/3/23,,,read,,,,1,0
19499020,Summer of My Secret Angel,Piper Shelly,"Shelly, Piper",Anna Katmore,,,0,3.93,,Kindle Edition,474,2013,2012,4/3/15,8/3/23,,,read,,,,1,0
35274964,"Tempest (Destroyers, #1)",Holly Hook,"Hook, Holly",,,,0,3.59,,Kindle Edition,307,2017,2010,,8/3/23,,,read,,,,1,0
167987656,The Academy - Thief: Volume 1 (The Scarab Beetle Series) by C. L. Stone (2014-03-26),C.L. Stone,"Stone, C.L.",,,,0,4.03,CreateSpace Independent Publishing Platform (2014-03-26),Paperback,,1656,2014,,8/3/23,,,read,,,,1,0
14427009,"The Book of Deacon (The Book of Deacon, #1)",Joseph R. Lallo,"Lallo, Joseph R.",Nick Deligaris,1470008955,9781470008956,0,3.86,Createspace,Paperback,322,2012,2010,,8/3/23,,,read,,,,1,0
33385438,"The Child Finder (Naomi Cottle, #1)",Rene Denfeld,"Denfeld, Rene",,0062659057,9780062659057,0,3.95,Harper,Hardcover,274,2017,2017,1/28/23,8/3/23,,,read,,,,1,0
7940997,"The Emerald Talisman (Talisman, #1)",Brenda Pandos,"Pandos, Brenda",,057805339X,9780578053394,0,3.69,Obsidian Mountain Publishing,Paperback,288,2012,2010,,8/3/23,,,read,,,,1,0
